Fecha,Edad,Susceptibles
2021-01-29,<=19,2893878.0
2021-01-30,<=19,2892881.0
2021-01-31,<=19,2891854.0
2021-02-01,<=19,2890836.0
2021-02-02,<=19,2889834.0
2021-02-03,<=19,2888848.0
2021-02-04,<=19,2887861.0
2021-02-05,<=19,2886852.0
2021-02-06,<=19,2885824.0
2021-02-07,<=19,2884784.0
2021-02-08,<=19,2883783.0
2021-02-09,<=19,2882831.0
2021-02-10,<=19,2881926.0
2021-02-11,<=19,2881035.0
2021-02-12,<=19,2880118.0
2021-02-13,<=19,2879175.0
2021-02-14,<=19,2878218.0
2021-02-15,<=19,2877323.0
2021-02-16,<=19,2876501.0
2021-02-17,<=19,2875752.0
2021-02-18,<=19,2875022.0
2021-02-19,<=19,2874260.0
2021-02-20,<=19,2873465.0
2021-02-21,<=19,2872644.0
2021-02-22,<=19,2871842.0
2021-02-23,<=19,2871069.0
2021-02-24,<=19,2870324.0
2021-02-25,<=19,2869574.0
2021-02-26,<=19,2868787.0
2021-02-27,<=19,2867965.0
2021-02-28,<=19,2867117.0
2021-03-01,<=19,2866307.0
2021-03-02,<=19,2865550.0
2021-03-03,<=19,2864845.0
2021-03-04,<=19,2864143.0
2021-03-05,<=19,2863400.0
2021-03-06,<=19,2862617.0
2021-03-07,<=19,2861791.0
2021-03-08,<=19,2860930.0
2021-03-09,<=19,2860031.0
2021-03-10,<=19,2859094.0
2021-03-11,<=19,2858114.0
2021-03-12,<=19,2857085.0
2021-03-13,<=19,2856006.0
2021-03-14,<=19,2854884.0
2021-03-15,<=19,2853754.0
2021-03-16,<=19,2852620.0
2021-03-17,<=19,2851485.0
2021-03-18,<=19,2850321.0
2021-03-19,<=19,2849105.0
2021-03-20,<=19,2847839.0
2021-03-21,<=19,2846522.0
2021-03-22,<=19,2845167.0
2021-03-23,<=19,2843776.0
2021-03-24,<=19,2842347.0
2021-03-25,<=19,2840893.0
2021-03-26,<=19,2839432.0
2021-03-27,<=19,2837960.0
2021-03-28,<=19,2836475.0
2021-03-29,<=19,2834963.0
2021-03-30,<=19,2833420.0
2021-03-31,<=19,2831849.0
2021-04-01,<=19,2830238.0
2021-04-02,<=19,2828581.0
2021-04-03,<=19,2826876.0
2021-04-04,<=19,2825134.0
2021-04-05,<=19,2823414.0
2021-04-06,<=19,2821731.0
2021-04-07,<=19,2820082.0
2021-04-08,<=19,2818425.0
2021-04-09,<=19,2816720.0
2021-04-10,<=19,2814966.0
2021-04-11,<=19,2813170.0
2021-04-12,<=19,2811355.0
2021-04-13,<=19,2809527.0
2021-04-14,<=19,2807684.0
2021-04-15,<=19,2805860.0
2021-04-16,<=19,2804085.0
2021-04-17,<=19,2802361.0
2021-04-18,<=19,2800667.0
2021-04-19,<=19,2798889.0
2021-04-20,<=19,2797009.0
2021-04-21,<=19,2795026.0
2021-04-22,<=19,2793023.0
2021-04-23,<=19,2791068.0
2021-04-24,<=19,2789164.0
2021-04-25,<=19,2787304.0
2021-04-26,<=19,2785448.0
2021-04-27,<=19,2783589.0
2021-04-28,<=19,2781729.0
2021-04-29,<=19,2779853.0
2021-04-30,<=19,2777950.0
2021-05-01,<=19,2776018.0
2021-05-02,<=19,2774075.0
2021-05-03,<=19,2772189.0
2021-05-04,<=19,2770372.0
2021-05-05,<=19,2768627.0
2021-05-06,<=19,2766914.0
2021-05-07,<=19,2765196.0
2021-05-08,<=19,2763473.0
2021-05-09,<=19,2761747.0
2021-05-10,<=19,2760007.0
2021-05-11,<=19,2758249.0
2021-05-12,<=19,2756476.0
2021-05-13,<=19,2754739.0
2021-05-14,<=19,2753084.0
2021-05-15,<=19,2751516.0
2021-05-16,<=19,2750023.0
2021-05-17,<=19,2748546.0
2021-05-18,<=19,2747080.0
2021-05-19,<=19,2745621.0
2021-05-20,<=19,2744161.0
2021-05-21,<=19,2742690.0
2021-05-22,<=19,2741208.0
2021-05-23,<=19,2739715.0
2021-05-24,<=19,2738226.0
2021-05-25,<=19,2736740.0
2021-05-26,<=19,2735259.0
2021-05-27,<=19,2733745.0
2021-05-28,<=19,2732163.0
2021-05-29,<=19,2730511.0
2021-05-30,<=19,2728798.0
2021-05-31,<=19,2727061.0
2021-06-01,<=19,2725304.0
2021-06-02,<=19,2723530.0
2021-06-03,<=19,2721767.0
2021-06-04,<=19,2720045.0
2021-06-05,<=19,2718363.0
2021-06-06,<=19,2716705.0
2021-06-07,<=19,2714977.0
2021-06-08,<=19,2713165.0
2021-06-09,<=19,2711268.0
2021-06-10,<=19,2709301.0
2021-06-11,<=19,2707271.0
2021-06-12,<=19,2705180.0
2021-06-13,<=19,2703043.0
2021-06-14,<=19,2700953.0
2021-06-15,<=19,2698928.0
2021-06-16,<=19,2696966.0
2021-06-17,<=19,2695002.0
2021-06-18,<=19,2692962.0
2021-06-19,<=19,2690852.0
2021-06-20,<=19,2688690.0
2021-06-21,<=19,2686592.0
2021-06-22,<=19,2684573.0
2021-06-23,<=19,2682640.0
2021-06-24,<=19,2680735.0
2021-06-25,<=19,2678800.0
2021-06-26,<=19,2676838.0
2021-06-27,<=19,2674866.0
2021-06-28,<=19,2673005.0
2021-06-29,<=19,2671277.0
2021-06-30,<=19,2669680.0
2021-07-01,<=19,2668145.0
2021-07-02,<=19,2666600.0
2021-07-03,<=19,2665051.0
2021-07-04,<=19,2663515.0
2021-07-05,<=19,2662127.0
2021-07-06,<=19,2660915.0
2021-07-07,<=19,2659876.0
2021-07-08,<=19,2658888.0
2021-07-09,<=19,2657828.0
2021-07-10,<=19,2656695.0
2021-07-11,<=19,2655517.0
2021-07-12,<=19,2654459.0
2021-07-13,<=19,2653545.0
2021-07-14,<=19,2652777.0
2021-07-15,<=19,2652063.0
2021-07-16,<=19,2651312.0
2021-07-17,<=19,2650539.0
2021-07-18,<=19,2649749.0
2021-07-19,<=19,2648996.0
2021-07-20,<=19,2648292.0
2021-07-21,<=19,2647637.0
2021-07-22,<=19,2647023.0
2021-07-23,<=19,2646446.0
2021-07-24,<=19,2645905.0
2021-07-25,<=19,2645397.0
2021-07-26,<=19,2644907.0
2021-07-27,<=19,2644432.0
2021-07-28,<=19,2643973.0
2021-07-29,<=19,2643535.0
2021-07-30,<=19,2643143.0
2021-07-31,<=19,2642789.0
2021-08-01,<=19,2642473.0
2021-08-02,<=19,2641969.0
2021-08-03,<=19,2640864.0
2021-08-04,<=19,2639615.0
2021-08-05,<=19,2638566.0
2021-08-06,<=19,2636624.0
2021-08-07,<=19,2636162.0
2021-08-08,<=19,2635867.0
2021-08-09,<=19,2634834.0
2021-08-10,<=19,2633550.0
2021-08-11,<=19,2632503.0
2021-08-12,<=19,2630675.0
2021-08-13,<=19,2628959.0
2021-08-14,<=19,2628528.0
2021-08-15,<=19,2628286.0
2021-08-16,<=19,2627882.0
2021-08-17,<=19,2627462.0
2021-08-18,<=19,2626241.0
2021-08-19,<=19,2625315.0
2021-08-20,<=19,2624576.0
2021-08-21,<=19,2624371.0
2021-08-22,<=19,2624192.0
2021-08-23,<=19,2623813.0
2021-08-24,<=19,2623431.0
2021-08-25,<=19,2620825.0
2021-08-26,<=19,2619094.0
2021-08-27,<=19,2618071.0
2021-08-28,<=19,2617863.0
2021-08-29,<=19,2617695.0
2021-08-30,<=19,2617311.0
2021-08-31,<=19,2616906.0
2021-09-01,<=19,2614829.0
2021-09-02,<=19,2611825.0
2021-09-03,<=19,2608516.0
2021-09-04,<=19,2608264.0
2021-09-05,<=19,2608093.0
2021-09-06,<=19,2607576.0
2021-09-07,<=19,2607153.0
2021-09-08,<=19,2606584.0
2021-09-09,<=19,2595551.0
2021-09-10,<=19,2588984.0
2021-09-11,<=19,2588787.0
2021-09-12,<=19,2588657.0
2021-09-13,<=19,2588316.0
2021-09-14,<=19,2588035.0
2021-09-15,<=19,2585286.0
2021-09-16,<=19,2583206.0
2021-09-17,<=19,2581714.0
2021-09-18,<=19,2581577.0
2021-09-19,<=19,2581480.0
2021-09-20,<=19,2581307.0
2021-09-21,<=19,2581134.0
2021-09-22,<=19,2580395.0
2021-09-23,<=19,2579853.0
2021-09-24,<=19,2579389.0
2021-09-25,<=19,2579282.0
2021-09-26,<=19,2579180.0
2021-09-27,<=19,2578835.0
2021-09-28,<=19,2578479.0
2021-09-29,<=19,2578113.0
2021-09-30,<=19,2577848.0
2021-10-01,<=19,2577740.0
2021-10-02,<=19,2577645.0
2021-10-03,<=19,2577556.0
2021-10-04,<=19,2577300.0
2021-10-05,<=19,2577012.0
2021-10-06,<=19,2576724.0
2021-10-07,<=19,2576426.0
2021-10-08,<=19,2576079.0
2021-10-09,<=19,2575880.0
2021-10-10,<=19,2575686.0
2021-10-11,<=19,2575390.0
2021-10-12,<=19,2575086.0
2021-10-13,<=19,2574792.0
2021-10-14,<=19,2574517.0
2021-10-15,<=19,2574254.0
2021-10-16,<=19,2574074.0
2021-10-17,<=19,2573901.0
2021-10-18,<=19,2573647.0
2021-10-19,<=19,2573398.0
2021-10-20,<=19,2573140.0
2021-10-21,<=19,2572854.0
2021-10-22,<=19,2572455.0
2021-10-23,<=19,2572181.0
2021-10-24,<=19,2571901.0
2021-10-25,<=19,2571580.0
2021-10-26,<=19,2559711.0
2021-10-27,<=19,2552640.0
2021-10-28,<=19,2548123.0
2021-10-29,<=19,2545298.0
2021-10-30,<=19,2544876.0
2021-10-31,<=19,2544455.0
2021-11-01,<=19,2532093.0
2021-11-02,<=19,2517518.0
2021-11-03,<=19,2499745.0
2021-11-04,<=19,2486326.0
2021-11-05,<=19,2471812.0
2021-11-06,<=19,2471012.0
2021-11-07,<=19,2470493.0
2021-11-08,<=19,2448048.0
2021-11-09,<=19,2420464.0
2021-11-10,<=19,2390139.0
2021-11-11,<=19,2360146.0
2021-11-12,<=19,2333089.0
2021-11-13,<=19,2331348.0
2021-11-14,<=19,2330716.0
2021-11-15,<=19,2330054.0
2021-11-16,<=19,2303358.0
2021-11-17,<=19,2277829.0
2021-11-18,<=19,2254161.0
2021-11-19,<=19,2233607.0
2021-11-20,<=19,2231772.0
2021-11-21,<=19,2230893.0
2021-11-22,<=19,2218701.0
2021-11-23,<=19,2201942.0
2021-11-24,<=19,2185516.0
2021-11-25,<=19,2169743.0
2021-11-26,<=19,2156055.0
2021-11-27,<=19,2154382.0
2021-11-28,<=19,2153517.0
2021-11-29,<=19,2141022.0
2021-11-30,<=19,2128257.0
2021-12-01,<=19,2116327.0
2021-12-02,<=19,2105939.0
2021-12-03,<=19,2097269.0
2021-12-04,<=19,2096092.0
2021-12-05,<=19,2095353.0
2021-12-06,<=19,2087340.0
2021-12-07,<=19,2078394.0
2021-12-08,<=19,2069911.0
2021-12-09,<=19,2061675.0
2021-12-10,<=19,2054254.0
2021-12-11,<=19,2053009.0
2021-12-12,<=19,2052372.0
2021-12-13,<=19,2047279.0
2021-12-14,<=19,2040858.0
2021-12-15,<=19,2035399.0
2021-12-16,<=19,2030162.0
2021-12-17,<=19,2025223.0
2021-12-18,<=19,2024337.0
2021-12-19,<=19,2023847.0
2021-12-20,<=19,2018762.0
2021-12-21,<=19,2013638.0
2021-12-22,<=19,2013250.0
2021-12-23,<=19,2008257.0
2021-12-24,<=19,2003828.0
2021-12-25,<=19,2002984.0
2021-12-26,<=19,2002571.0
2021-12-27,<=19,1997996.0
2021-12-28,<=19,1993732.0
2021-12-29,<=19,1989766.0
2021-12-30,<=19,1986357.0
2021-12-31,<=19,1983358.0
2022-01-01,<=19,1982767.0
2022-01-02,<=19,1982469.0
2022-01-03,<=19,1979498.0
2022-01-04,<=19,1976610.0
2022-01-05,<=19,1974142.0
2022-01-06,<=19,1972135.0
2022-01-07,<=19,1971535.0
2022-01-08,<=19,1971296.0
2022-01-09,<=19,1971029.0
2022-01-10,<=19,1967910.0
2022-01-11,<=19,1964433.0
2022-01-12,<=19,1960997.0
2022-01-13,<=19,1957879.0
2022-01-14,<=19,1956962.0
2022-01-15,<=19,1956605.0
2022-01-16,<=19,1956218.0
2022-01-17,<=19,1953045.0
2022-01-18,<=19,1949528.0
2022-01-19,<=19,1946772.0
2022-01-20,<=19,1941632.0
2022-01-21,<=19,1936347.0
2022-01-22,<=19,1935069.0
2022-01-23,<=19,1933953.0
2022-01-24,<=19,1928269.0
2022-01-25,<=19,1923046.0
2022-01-26,<=19,1918455.0
2022-01-27,<=19,1913644.0
2022-01-28,<=19,1908048.0
2022-01-29,<=19,1904365.0
2022-01-30,<=19,1900106.0
2022-01-31,<=19,1892760.0
2022-02-01,<=19,1886747.0
2022-02-02,<=19,1881272.0
2022-02-03,<=19,1876481.0
2022-02-04,<=19,1871676.0
2022-02-05,<=19,1867809.0
2022-02-06,<=19,1863532.0
2022-02-07,<=19,1856621.0
2022-02-08,<=19,1849446.0
2022-02-09,<=19,1842320.0
2022-02-10,<=19,1835100.0
2022-02-11,<=19,1827970.0
2022-02-12,<=19,1821836.0
2022-02-13,<=19,1815393.0
2022-02-14,<=19,1806529.0
2022-02-15,<=19,1797772.0
2022-02-16,<=19,1789143.0
2022-02-17,<=19,1780519.0
2022-02-18,<=19,1771659.0
2022-02-19,<=19,1764449.0
2022-02-20,<=19,1757133.0
2022-02-21,<=19,1747625.0
2022-02-22,<=19,1738482.0
2022-02-23,<=19,1729847.0
2022-02-24,<=19,1721437.0
2022-02-25,<=19,1713127.0
2022-02-26,<=19,1706262.0
2022-02-27,<=19,1699432.0
2022-02-28,<=19,1691058.0
2022-03-01,<=19,1683012.0
2022-03-02,<=19,1675198.0
2022-03-03,<=19,1667621.0
2022-03-04,<=19,1660194.0
2022-03-05,<=19,1654432.0
2022-03-06,<=19,1648859.0
2022-03-07,<=19,1641428.0
2022-03-08,<=19,1634184.0
2022-03-09,<=19,1627345.0
2022-03-10,<=19,1620608.0
2022-03-11,<=19,1614051.0
2022-03-12,<=19,1609543.0
2022-03-13,<=19,1605370.0
2022-03-14,<=19,1598718.0
2022-03-15,<=19,1592672.0
2022-03-16,<=19,1587833.0
2022-03-17,<=19,1583314.0
2022-03-18,<=19,1578628.0
2022-03-19,<=19,1575430.0
2022-03-20,<=19,1572533.0
2022-03-21,<=19,1568867.0
2022-03-22,<=19,1565411.0
2022-03-23,<=19,1562071.0
2022-03-24,<=19,1558903.0
2022-03-25,<=19,1555355.0
2022-03-26,<=19,1552979.0
2022-03-27,<=19,1550843.0
2022-03-28,<=19,1548003.0
2022-03-29,<=19,1545270.0
2022-03-30,<=19,1542591.0
2022-03-31,<=19,1540017.0
2022-04-01,<=19,1537195.0
2022-04-02,<=19,1535342.0
2022-04-03,<=19,1533701.0
2022-04-04,<=19,1531410.0
2022-04-05,<=19,1529216.0
2022-04-06,<=19,1527133.0
2022-04-07,<=19,1525147.0
2022-04-08,<=19,1522706.0
2022-04-09,<=19,1521270.0
2022-04-10,<=19,1519970.0
2022-04-11,<=19,1517840.0
2022-04-12,<=19,1515964.0
2022-04-13,<=19,1514239.0
2022-04-14,<=19,1512708.0
2022-04-15,<=19,1510893.0
2022-04-16,<=19,1509943.0
2022-04-17,<=19,1509133.0
2022-04-18,<=19,1507771.0
2022-04-19,<=19,1506529.0
2022-04-20,<=19,1505407.0
2022-04-21,<=19,1504330.0
2022-04-22,<=19,1503042.0
2022-04-23,<=19,1502326.0
2022-04-24,<=19,1501725.0
2022-04-25,<=19,1500669.0
2022-04-26,<=19,1499707.0
2022-04-27,<=19,1498758.0
2022-04-28,<=19,1497769.0
2022-04-29,<=19,1497306.0
2022-04-30,<=19,1496932.0
2022-05-01,<=19,1496625.0
2022-05-02,<=19,1495889.0
2022-05-03,<=19,1495122.0
2022-05-04,<=19,1494270.0
2022-05-05,<=19,1493460.0
2022-05-06,<=19,1492590.0
2022-05-07,<=19,1492109.0
2022-05-08,<=19,1491756.0
2022-05-09,<=19,1491072.0
2022-05-10,<=19,1490429.0
2022-05-11,<=19,1489760.0
2022-05-12,<=19,1489083.0
2022-05-13,<=19,1488346.0
2022-05-14,<=19,1487925.0
2022-05-15,<=19,1487568.0
2022-05-16,<=19,1486876.0
2022-05-17,<=19,1486157.0
2022-05-18,<=19,1485377.0
2022-05-19,<=19,1484611.0
2022-05-20,<=19,1483749.0
2022-05-21,<=19,1483182.0
2022-05-22,<=19,1482666.0
2022-05-23,<=19,1481761.0
2022-05-24,<=19,1480819.0
2022-05-25,<=19,1479780.0
2022-05-26,<=19,1478708.0
2022-05-27,<=19,1477560.0
2022-05-28,<=19,1476667.0
2022-05-29,<=19,1475823.0
2022-05-30,<=19,1474552.0
2022-05-31,<=19,1473191.0
2022-06-01,<=19,1471733.0
2022-06-02,<=19,1470298.0
2022-06-03,<=19,1468807.0
2022-06-04,<=19,1467755.0
2022-06-05,<=19,1466738.0
2022-06-06,<=19,1465239.0
2022-06-07,<=19,1463648.0
2022-06-08,<=19,1461965.0
2022-06-09,<=19,1460190.0
2022-06-10,<=19,1458348.0
2022-06-11,<=19,1456725.0
2022-06-12,<=19,1455156.0
2022-06-13,<=19,1453193.0
2022-06-14,<=19,1451235.0
